ENGLISH-1,ENGLISH-2,ENG DESCRIPTION,MALAYALAM-1,MALAYALAM-2,ML DESCRIPTION
Mexican,,,മെക്സിക്കന്‍,,
middle,,,ഇടയില്‍,,
might,,,കരുത്ത്,,
military,,,പട്ടാളം,,
milk,,,പാല്‍,,
million,,,പത്തുലക്ഷം,,
mind,,,അകതാർ/ഉള്ളം,,
mine,,,എന്‍റെത്,,
minister,,,,,
minor,,,ചെറിയ/ഇളയ,,
minority,,,കുറിയപങ്ക്,,
minute,,,മിനിറ്റ്,,
miracle,,,,,
mirror,,,കണ്ണാടി,,
mischief,,,കുറുമ്പ്,,
miss,,,ഉന്നംതെറ്റുക,,
missile,,,പോര്‍മുന,,
mission,,,,,
mistake,,,പിഴവ്/തെറ്റ്,,
mix,,,കലര്‍ത്തുക,,
mixture,,,കലര്‍പ്പ്,,
mode,,,മുറ,,
model,,,മച്ചം/മാതിരി,,
moderate,,,ഇടത്തരം,,
moderation,,,ചെറിയതോതില്‍,,
modern,,,പുത്തന്‍,,
modest,,,എളിമയുള്ള,,
mom,,,തള്ള,,
moment,,,ഞൊടി,,
money,,,കാശ്/പണം,,
monitor,,,കണ്ണുവയ്ക്കുക,,
month,,,മാസം,,
mood,,,ഉള്‍നില,,
moon,,,തിങ്കള്‍,,
moral,,,നന്മ,,
morale,,,വീറ്,,
more,,,കൂടുതല്‍,,
moreover,,,തന്നെയുമല്ല,,
morning,,,കാലത്ത്/രാവിലെ/പുലരി,,
mortgage,,,പണയം,,
most,,,ഏറ്റവും,,
mostly,,,കൂടുതലും,,
mother,,,തള്ള,,
motion,,,നീക്കം,,
motivation,,,ഉള്‍ചെലുത്ത്,,
motor,,,,,
mount,,,കയറുക,,
mountain,,,മല,,
mouse,,,ചുണ്ടെലി,,
mouth,,,വായ,,
move,,,നീങ്ങുക/അനങ്ങുക,,
movement,,,അനക്കം,,
movie,,,പടം/തിരക്കാഴ്ച,,
Mr,,,,,
Mrs,,,,,
Ms,,,,,
much,,,വളരെ,,
multiple,,,പല,,
multiply,,,പെരുക്കുക,,
murder,,,കൊലപാതകം,,
muscle,,,പേശി,,
museum,,,കാഴ്ചബംഗ്ലാവ്,,
music,,,പാട്ട്,,
musical,,,,,
musician,,,പാട്ടുകാരന്‍,,
Muslim,,,മുസ്ലീം,,
must,,,വേണ്ടത്,,
mutual,,,തമ്മില്‍,,
my,,,എന്‍റെ,,
myself,,,എന്നെത്തന്നെ/എന്നോട്,,
mystery,,,,,
myth,,,കെട്ടുകഥ,,
naked,,,ഉടുതുണിയറ്റ/പച്ചയായ,,
name,,,പേര്,,
narrative,,,പറച്ചില്‍,,
narrow,,,നേര്‍ന്ന/കുറിയ,,
nation,,,നാട്'/കടകം,,
national,,,നാട്ട്/കടക,,
native,,,നാട്ടുകാരന്‍,,
natural,,,തനി/പച്ച,,
nature,,,തഴക്കം/തനം,,
negative,,,കീഴ്കണക്ക്,,
neighbor,,,അയല്‍ക്കാരന്‍,,
neighborhood,,,അയല്‍പ്പക്കം,,
neither,,,അതുമല്ല,,
nerve,,,ഞരമ്പ്‌,,
nervous,,,പേടിച്ചരണ്ട,,
net,,,വല,,
network,,,കണ്ണിക,,
neutral,,,നടുനില,,
never,,,ഒരിക്കലും,,
nevertheless,,,എന്നിരുന്നാലും,,
new,,,പുതിയ,,
newly,,,പുതുതായി,,
news,,,,,
newspaper,,,,,
next,,,അടുത്തത്,,
nice,,,നല്ലത്,,
night,,,ഇരവ്,,
nine,,,ഒന്‍പത്,,
no,,,ഇല്ല,,
nobody,,,ആരുമല്ല,,
nod,,,തലയാട്ടുക,,
noise,,,ഒച്ച,,
nomination,,,പേരുചേര്‍ക്കല്‍,,
none,,,ഒന്നുമല്ല,,
nonetheless,,,എന്നിരുന്നാലും,,
noon,,,നട്ടുച്ച,,
nor,,,അതുമല്ല,,
normal,,,പൊതു,,
normally,,,പൊതുവേ,,
north,,,വടക്ക്,,
northern,,,വടക്കുള്ള,,
nose,,,മൂക്ക്,,
not,,,അല്ല,,
note,,,കുറിപ്പ്,,
nothing,,,ഒന്നുമില്ല',,
notice,,,കണ്ണില്‍പ്പെടുക/അറിയിപ്പ്,,
notion,,,തോന്നല്‍,,
novel,,,പെരുങ്കഥ/നീണ്ടകഥ,,
novelty,,,പുതുമ,,
now,,,ഇപ്പോള്‍,,
nowhere,,,ഒരിടത്തുമില്ല,,
nuclear,,,,,
number,,,എണ്ണം,,
numerous,,,പല,,
nurse,,,,,
nurture,,,പേറ്റുക/പേണുക,,
nut,,,അണ്ടി/കുരു,,
obedience,,,ചൊല്‍പ്പടി,,
object,,,പണ്ടം/പൊരുള്‍,,
objective,,,ഉന്നം,,
obligation,,,കടപ്പാട്,,
observation,,,കണ്‍പെടല്‍,,
observe,,,കണ്‍പെടുക,,
observer,,,കണ്‍പെട്ടവര്‍,,
obtain,,,നേടുക/കിട്ടുക,,
obvious,,,തീര്‍ച്ച,,
obviously,,,തീര്‍ച്ചയായും,,
occasion,,,ഇട,,
occasionally,,,ചിലപ്പോള്‍,,
occupation,,,തൊഴില്‍,,
occupy,,,കൈക്കലാക്കുക,,
occur,,,നടക്കുക,,
ocean,,,പെരുങ്കടല്‍,,
odd,,,ഒറ്റ,,
odds,,,ഇട,,
of,,,അതിന്‍റെ,,
off,,,അണച്ച,,
offense,,,കുറ്റം,,
offensive,,,മുന്നീക്കം,,
offer,,,,,
office,,,,,
officer,,,മേലാളന്‍,,
official,,,,,
offspring,,,മക്കള്‍,,
often,,,അടിക്കടി/മിക്കപ്പോഴും,,
oh,,,ഓ,,
oil,,,എണ്ണ,,
ointment,,,കുഴമ്പ്,,
ok,,,ശരി,,
okay,,,ശരി,,
old,,,പഴയ,,
Olympic,,,ഒളിമ്പിക്,,
on,,,മേലെ,,
once,,,ഒരിക്കല്‍,,
one,,,ഒന്ന്,,
ongoing,,,നടപ്പ്,,
onion,,,ഉള്ളി,,
online,,,,,
only,,,മുറ്റും/ഒറ്റ,,
onto,,,മീതെ,,
open,,,തുറക്കുക/തുറന്ന,,
opening,,,തുറക്കല്‍,,
operate,,,,,
operating,,,,,
operation,,,,,
operator,,,കൈയാള്‍,,
opinion,,,നിനവുരി,,
opponent,,,എതിരാളി,,
opportunity,,,തക്കം,,
oppose,,,എതിര്‍ക്കുക,,
opposite,,,എതിരായ,,
opposition,,,എതിര്‍പ്പ്,,
option,,,പലവക,,
or,,,അല്ലെങ്കില്‍,,
orange,,,ഇനിയനാരങ്ങ,,
orbit,,,ചുറ്റുപാത,,
order,,,ഒഴുങ്ങ്/ഏക്ക്/അടുക്ക്,,
ordinary,,,പച്ച,,
organic,,,നാടന്‍,,
organization,,,കൂട്ടായ്മ,,
organize,,,ഏര്‍പ്പാടാക്കുക,,
orientation,,,നില്‍പ്പുമൂല,,
origin,,,ഉറവ,,
original,,,തനി,,
outcome,,,വിളവ്,,
output,,,പുറത്തൂട്ട്,,
outside,,,പുറത്ത്/വെളിയേ,,
oven,,,ചൂള,,
over,,,മേലെ,,
overall,,,മൊത്തത്തില്‍,,
overcome,,,മറികടക്കുക,,
overlook,,,മറിനോക്കുക,,
overview,,,നേര്‍നോട്ടം,,
owe,,,കടപ്പെട്ടിരിക്കുക,,
own,,,,,
owner,,,ഉടമ,,
ownership,,,ഉടയത്തം,,
oyster,,,കക്ക,,
pace,,,വിരവ്,,
pack,,,കെട്ടുക,,
package,,,കെട്ട്,,
page,,,ഏട്/താള്‍,,
pain,,,നോവ്,,
painful,,,നോവാര്‍ന്ന,,
paint,,,ചായം,,
painter,,,ചായംപൂശുകാരന്‍,,
painting,,,ചായംപൂശല്‍,,
pair,,,ഇണ,,
pale,,,വിളറിയ,,
Palestinian,,,പലസ്തീനിയൻ,,
palm,,,പന/കൈപ്പത്തി,,
pan,,,ചട്ടി,,
panel,,,,,
pant,,,,,
paper,,,കടലാസ്സ്,,
parent,,,പെറ്റവര്‍,,
park,,,പൂന്തോട്ടം,,
parking,,,നിർത്തിടം,,
part,,,പങ്ക്,,
participant,,,പങ്കാളി,,
participate,,,പങ്കെടുക്കുക,,
participation,,,പങ്കെടുപ്പ്,,
particular,,,,,
particularly,,,,,
partly,,,ഒരളവില്‍,,
partner,,,പങ്കാളി,,
partnership,,,പങ്കാളിത്തം/കൂട്ടുകച്ചവടം,,
party,,,,,
pass,,,കടക്കുക/കടത്തുചീട്ട്,,
passage,,,പോക്കുവഴി,,
passenger,,,കൂട്ടുവഴിപോക്കന്‍,,
passion,,,,,
past,,,മുന്‍കാല,,
pastime,,,നേരമ്പോക്ക്,,
patch,,,തുണ്ട്,,
path,,,പാത,,
patient,,,വയ്യാത്തവര്‍/നോവാളി,,
patrol,,,റോന്തുചുറ്റല്‍,,
pattern,,,മച്ചം,,
pause,,,ഇടനേരമെടുക്കുക,,
pawn,,,പണയം,,
pay,,,പണമടയ്ക്കുക,,
payment,,,പണമടവ്,,
PC,,,പി.സി,,
peace,,,,,
peak,,,കൊടുമുടി,,
pebble,,,ഉരുളന്‍കല്ല്,,
pedestrian,,,കാല്‍നടക്കാര്‍,,
peer,,,കൂട്ടാളികള്‍,,
pen,,,പേന,,
penalty,,,പിഴ,,
pencil,,,എഴുത്തുകോല്‍,,
people,,,ആളുകള്‍',,
pepper,,,കുരുമുളക്',,
per,,,തോറും,,
perceive,,,കാണുക,,
percentage,,,നൂറ്റളവ്/നൂറ്റുമാനം,,
perception,,,കാഴ്ചമൂല,,
perfect,,,തികഞ്ഞ,,
perfectly,,,തികച്ചും,,
perform,,,ചെയ്യുക/കളിക്കുക/നിറവേറ്റുക,,
performance,,,കളിമികവ്,,
perhaps,,,ഒരുപക്ഷേ,,
period,,,കാലം,,
permanent,,,ഈടുറ്റ,,
permission,,,,,
permit,,,,,
person,,,ആള്‍,,
personal,,,,,
personality,,,ആളത്തം,,
personally,,,,,
personnel,,,ആള്‍ക്കരുത്ത്,,
perspective,,,കാഴ്ചപ്പാട്,,
persuade,,,,,
pesticide,,,പുഴുക്കൊല്ലി,,
pet,,,വളര്‍ത്തുമാക്,,
phase,,,തലം,,
phenomenon,,,,,
philosophy,,,ഉറ്ററിവ്,,
phone,,,ഫോണ്‍,,
photo,,,ഫോട്ടോ,,
photograph,,,പടമെടുപ്പ്,,
photographer,,,പടമെടുപ്പുകാരൻ,,
phrase,,,ചൊല്ല്,,
physical,,,,,
physically,,,,,
physician,,,,,
piano,,,പിയാനോ,,
pick,,,പറിക്കുക/തിരഞ്ഞെടുക്കുക/പെറുക്കുക,,
picture,,,പടം,,
pie,,,അട,,
piechart,,,വട്ടവരപ്പടം,,
piece,,,മുറി/തുണ്ട്,,
pile,,,കൂന,,
pilot,,,പറപ്പാളി,,
pine,,,പൈന്‍മരം,,
pink,,,പാടലനിറം,,
pipe,,,കുഴല്‍,,
pitch,,,കളിനിലം,,
place,,,ഇടം,,
plan,,,മുന്നൊരുക്കം,,
plane,,,വിണ്ണോടം,,
planet,,,വാനത്തിരള്‍,,
planning,,,,,
plant,,,ചെടി/നടുക,,
plastic,,,പശിയം,,
plate,,,തീന്‍തട്ട്/പിഞ്ഞാണം,,
platform,,,തട്ട്,,
play,,,കളി/കളിക്കുക,,
player,,,കളിക്കാരന്‍,,
please,,,കനിവായി,,
pleasure,,,,,
plenty,,,ഏറെ/ഒരുപാട്/ഒത്തിരി,,
plot,,,തുണ്ടുനിലം/വരപ്പ്,,
plus,,,കൂടുതല്‍,,
PM,,,വൈകീട്ട്,,
pocket,,,കീശ,,
poem,,,പാന,,
poet,,,പാനയാളി,,
poetry,,,പാനപ്പാട്,,
point,,,കുത്ത്/ചൂണ്ടുക,,
pole,,,കഴുക്കോല്‍,,
police,,,പോലീസ്,,
policy,,,മുറ,,
political,,,,,
politically,,,,,
politician,,,,,
politics,,,നാടുവാഴ്ച,,
poll,,,തിരഞ്ഞെടുപ്പ്,,
pollution,,,,,
pool,,,നീന്തല്‍ക്കുളം,,
poop,,,അപ്പി,,
poor,,,പാവപ്പെട്ട,,
pop,,,പോപ്പ്,,
popular,,,പേരുകേട്ട,,
population,,,ആള്‍പെരുപ്പം,,
porch,,,പൂമുഖം,,
port,,,തുറമുഖം,,
portion,,,പങ്ക്,,
portrait,,,ഉരുവപ്പടം,,
portray,,,വരച്ചുകാട്ടുക,,
pose,,,നില്‍പ്പ്,,
position,,,നില്‍പ്പിടം/ഇരുപ്പ്,,
positive,,,മേല്‍കണക്ക്,,
possess,,,കൈക്കല്‍ ഉണ്ടാകുക,,
possibility,,,ഇട,,
possible,,,ഇടയുള്ളത്,,
possibly,,,കഴിയുമെങ്കില്‍,,
post,,,തപാല്‍/കുറ്റി,,
posture,,,ഇരുത്തം/നില്‍പ്പ്,,
pot,,,കലം,,
potato,,,ഉരുളക്കിഴങ്ങ്,,
potential,,,മുന്നിട,,
potentially,,,മുന്നിടയുള്ള,,
pound,,,പൌണ്ട്,,
pour,,,ഒഴിക്കുക,,
poverty,,,അരിപ്പം,,
powder,,,പൊടി,,
power,,,ഈട്/കരുത്ത്,,
powerful,,,കരുത്തുറ്റ,,
practical,,,ചെയ്യുമാറായ,,
practice,,,പയറ്റ്/തഴക്കം,,
pray,,,തൊഴുക,,
prayer,,,തൊഴല്‍,,
precisely,,,നേര്‍മ്മയായി,,
predict,,,ഊടം,,
prefer,,,മുന്‍‌തൂക്കം കൊടുക്കുക,,
preference,,,മുന്‍‌തൂക്കം,,
pregnancy,,,ഈറ്റ്,,
pregnant,,,ഈറ്റ,,
preparation,,,ഒരുക്കം,,
prepare,,,ഒരുക്കുക,,
prescription,,,മരുന്നുകുറിപ്പ്,,
presence,,,നിലനില്‍പ്പ്‌,,
present,,,അപ്പോള്‍,,
presentation,,,വെളികാട്ടല്‍,,
preserve,,,കാക്കുക,,
president,,,നാട്ടുതലവന്‍,,
presidential,,,നാട്ടുതലവന്‍റെ,,
press,,,ഞെക്കുക,,
pressure,,,ഞെരുക്കം,,
pretend,,,നടിക്കുക,,
pretty,,,അഴകാര്‍ന്ന,,
prevent,,,തടയുക,,
previous,,,മുന്‍പ്,,
previously,,,മുന്‍പത്തെ,,
price,,,വില,,
pride,,,പെരുമ,,
priest,,,,,
primarily,,,,,
primary,,,,,
prime,,,,,
principal,,,തലക്കപ്പെട്ട,,
principle,,,ഊട്,,
print,,,അച്ച്,,
prior,,,മുന്‍പത്തെ,,
priority,,,മുന്നായ്മ,,
prison,,,തടവ്,,
prisoner,,,തടവുകാരന്‍,,
privacy,,,തന്നായ്മ,,
private,,,തന്നായ,,
probability,,,ഇട,,
probably,,,ഒരുപക്ഷേ,,
problem,,,കുഴപ്പം/പിരളി/തൊന്തരവ്‌,,
procedure,,,മുറ,,
proceed,,,മുന്നോട്ടുനീങ്ങുക,,
process,,,മുറ/നടപടി,,
procrastination,,,നീട്ടിവെപ്പ്,,
produce,,,ചമയ്ക്കുക,,
producer,,,ചമയ്പ്പവര്‍,,
product,,,ചമയ്പ്പ്,,
production,,,ചമയ്ക്കല്‍,,
profession,,,തൊഴില്‍,,
professional,,,തൊഴില്‍മട്ട്,,
professor,,,,,
profile,,,,,
profit,,,ഈട്ട്,,
program,,,പരിപാടി,,
programming,,,മുറയെഴുത്ത്,,
progress,,,മുന്നേറ്റം,,
project,,,,,
prominent,,,മുന്തിയ,,
promise,,,വാക്കുകൊടുക്കുക,,
promote,,,ജോലിക്കയറ്റം കൊടുക്കുക,,
prompt,,,കണിശമായി/തുമ്പ്,,
proof,,,തെളിവ്,,
proper,,,ശരിയായ,,
properly,,,ശരിയായി,,
property,,,,,
proportion,,,പങ്ക്,,
proposal,,,,,
propose,,,,,
proposed,,,,,
prosecutor,,,വക്കാണത്താന്‍,,
prospect,,,,,
prosperity,,,ചിറപ്പ്,,
protect,,,കാക്കുക,,
protection,,,കാക്കല്‍,,
protein,,,,,
protest,,,എതിര്‍പ്പ്,,
proud,,,പെരുമയുള്ള,,
prove,,,തെളിയിക്കുക,,
provide,,,കൊടുക്കുക,,
provider,,,കൊടുക്കുന്നവര്‍,,
province,,,നാടുപകുപ്പ്,,
provision,,,വകുപ്പ്,,
psychological,,,,,
psychologist,,,,,
psychology,,,,,
public,,,പൊതു,,
publication,,,അച്ചടി,,
publicly,,,പൊതുയിടത്തിൽ,,
publish,,,അച്ചടിക്കുക,,
publisher,,,അച്ചടികൂടം,,
pull,,,വലിക്കുക,,
pulse,,,തുടിപ്പ്,,
punctuality,,,ചിട്ട,,
punishment,,,പിഴ,,
purchase,,,വാങ്ങല്‍,,
pure,,,തെളിമയാര്‍ന്ന,,
purpose,,,ഉന്നം,,
pursue,,,പിന്തുടരുക,,
push,,,തള്ളുക,,
put,,,ഇടുക,,
qualify,,,മേന്മനോക്കുക/മേന്മനേടുക,,
quality,,,നിലവാരം/മേന്മ,,
quarter,,,കാല്‍പ്പങ്ക്,,
quarterback,,,ക്വാര്‍ട്ടര്‍ബാക്ക്,,
question,,,വിനവ്,,
quick,,,വിനവുള്ള,,
quickly,,,പൊടുന്നനേ,,
quiet,,,ഒച്ചയില്ലായ്മ,,
quietly,,,ഒച്ചയില്ലാതെ,,
quit,,,വിട്ടുപോകുക,,
quite,,,കുറെയൊക്കെ,,
quote,,,ചൊല്ല്,,
rare,,,അരിയ,,
rate,,,നിരക്ക്/വില,,
reading,,,വായിക്കുക,,
ready,,,തയ്യാര്‍,,
real,,,ശരിക്കുള്ള,,
reality,,,ഉണ്മ,,
realization,,,തിരിച്ചറിവ്,,
realize,,,തിരിച്ചറിയുക,,
really,,,ശരിക്കും,,
reason,,,വയനം/കച്ചം,,
reasonable,,,നേറിവുള്ള,,
recall,,,ഓര്‍ത്തെടുക്കുക,,
receive,,,കിട്ടുക,,
recent,,,അടുത്തിടെ,,
recently,,,അടുത്തിടെയായി,,
recipe,,,,,
recite,,,ഓതുക,,
recognition,,,തിരിച്ചറിവ്,,
recognize,,,തിരിച്ചറിയുക,,
recommend,,,ശുപാര്‍ശചെയ്യുക,,
recommendation,,,ശുപാര്‍ശ,,
record,,,കുറിക്കുക,,
recording,,,കുറിപ്പ്,,
recover,,,വീണ്ടെടുക്കുക,,
recovery,,,വീണ്ടെടുക്കല്‍,,
recruit,,,തൊഴില്‍കൊടുക്കുക,,
red,,,ചുവപ്പ്,,
reduce,,,കുറവ്,,
reduction,,,കുറവ്,,
refer,,,കുറിക്കുക,,
reference,,,കുറിപ്പ്,,
reflect,,,നിഴലാടുക,,
reflection,,,നിഴലാട്ടം,,
reform,,,മാറ്റിയെടുക്കുക,,
refugee,,,നാടറ്റവര്‍,,
refuse,,,വേണ്ടെന്നുവെയ്ക്കുക,,
regard,,,നോക്കുക,,
regarding,,,കുറിച്ച്,,
regardless,,,എന്നിരുന്നാലും,,
regime,,,വാഴ്ച,,
region,,,തിണ,,
regional,,,തിണ,,
register,,,കണക്കേട്‌,,
regular,,,പതിവ്,,
regularly,,,പതിവായി,,
regulate,,,ചട്ടപ്പെടുത്തുക,,
regulation,,,ചട്ടം,,
reinforce,,,അഴിച്ചുപണിയുക,,
reject,,,തള്ളുക,,
relate,,,അടുപ്പമുണ്ടാവുക,,
relation,,,അടുപ്പം,,
relationship,,,കെട്ടുപാട്,,
relative,,,ഉടയവർ,,
relatively,,,ഒത്തുനോക്കിയാല്‍,,
relax,,,,,
release,,,പുറന്തള്ളുക,,
relevant,,,,,
relief,,,,,
religion,,,,,
religious,,,,,
rely,,,തുണതേടുക,,
remain,,,ബാക്കിവരിക,,
remaining,,,ബാക്കി,,
remarkable,,,,,
remember,,,ഓര്‍ക്കുക,,
remind,,,ഓര്‍മ്മിപ്പിക്കുക,,
remote,,,അകലെയുള്ള,,
remove,,,മാറ്റുക,,
repeat,,,വീണ്ടും ചെയ്യുക,,
repeatedly,,,തുടര്‍ച്ചയായി,,
replace,,,പകരംവയ്ക്കുക,,
reply,,,മറുപടി,,
report,,,,,
reporter,,,,,
represent,,,,,
representation,,,,,
representative,,,,,
Republican,,,കുടിയാള്‍വാഴ്ച,,
repurcussion,,,തിരിച്ചടി,,
reputation,,,നല്‍പ്പേര്,,
request,,,,,
require,,,വേണ്ടിവരിക,,
requirement,,,വേണ്ടത്,,
research,,,ആരാഴ്ചി,,
researcher,,,ആരാച്ചികൻ,,
resemble,,,അടുപ്പം തോന്നിക്കുക,,
reservation,,,നീക്കിവയ്ക്കല്‍,,
resident,,,കുടിയാന്‍/താമസക്കാരന്‍,,
resist,,,എതിര്‍ക്കുക,,
resistance,,,ചെറുത്തുനില്‍പ്പ്‌/എതിര്‍പ്പ്,,
resolution,,,പോംവഴി,,
resolve,,,പോംവഴിയുണ്ടാക്കുക,,
resort,,,,,
resource,,,,,
respect,,,ഓച്ചാനം,,
respond,,,മറുപടി കൊടുക്കുക,,
respondent,,,മറുപടിക്കാരന്‍,,
response,,,മറുപടി,,
responsibility,,,ചുമതല,,
responsible,,,ചുമതലപ്പെട്ട,,
rest,,,ഒഴിവെടുക്കുക,,
restaurant,,,ഊണുപുര,,
restore,,,വീണ്ടെടുക്കുക,,
restriction,,,തടസ്സം,,
result,,,വിളവ്,,
retail,,,ചില്ലറക്കച്ചവടം,,
retain,,,നിലനിര്‍ത്തുക,,
retire,,,തൊഴിലൊഴിയുക,,
retirement,,,തൊഴിലൊഴിച്ചില്‍,,
return,,,മടങ്ങിവരിക,,
reveal,,,വെളിപ്പെടുത്തുക,,
revenue,,,വരുമാനം,,
review,,,തിരിഞ്ഞുനോട്ടം,,
revival,,,ഉയിര്‍ക്കല്‍,,
revolution,,,വിടുതല്‍പോര്,,
rhythm,,,താളം,,
rice,,,അരി,,
rich,,,പണക്കാരന്‍,,
rid,,,ഒഴിവാക്കുക,,
ride,,,സവാരി,,
right,,,ശരി/ഊര്‍പ്പ്,,
river,,,പുഴ,,
road,,,നിരത്ത്/വഴി,,
robbery,,,കവര്‍ച്ച/കൊള്ള,,
rocket,,,എരിവാണം,,
rot,,,അഴുകുക/ചീയുക,,
rough,,,പരുക്കൻ,,
round,,,വട്ടം,,
route,,,വഴി,,
routine,,,വഴക്കം/ചിട്ട,,
row,,,വരി/തുഴയുക,,
rub,,,തടവുക,,
rule,,,ചട്ടം,,
run,,,ഓടുക,,
running,,,ഓട്ടം,,
rupture,,,വിള്ളല്‍/പിളര്‍പ്പ്,,
rural,,,നാട്ടിന്‍പുറത്തെ,,
rush,,,തിരക്ക്/പാച്ചില്‍,,
Russian,,,റഷ്യന്‍,,
rust,,,തുരുമ്പ്,,
sacred,,,,,
sad,,,അഴൽപ്പാട്,,
safe,,,കെട്ടുറപ്പുള്ള,,
safety,,,കെട്ടുറപ്പ്,,
sail,,,പായ,,
sailboat,,,പായ്ക്കപ്പല്‍,,
sake,,,വേണ്ടി,,
salad,,,ഇലക്കൂട്ട്,,
salary,,,ശമ്പളം,,
sale,,,വില്‍പ്പന,,
sales,,,വില്‍പ്പന,,
saliva,,,ഉമിനീര്,,
salt,,,ഉപ്പ്,,
same,,,ഒരേ,,
sample,,,,,
sanction,,,,,
sand,,,മണല്‍,,
satellite,,,വാനംചുറ്റി,,
satisfaction,,,മതിയാകൽ,,
satisfy,,,മതിയാകുക,,
sauce,,,ചാറ്,,
save,,,കാക്കുക,,
saving,,,കാക്കല്‍,,
say,,,പറയുക,,
scale,,,അളവുകോല്‍,,
scandal,,,കോഴ,,
scared,,,പേടിച്ചു,,
scenario,,,കാഴ്ച്ചവട്ടം,,
scene,,,കാഴ്ച,,
schedule,,,നേരപ്പട്ടിക,,
scheme,,,ചെയ്ത്തുപരിപാടി,,
scholar,,,,,
scholarship,,,,,
school,,,പള്ളിക്കൂടം,,
science,,,പനുവല്‍,,
scientific,,,,,
scientist,,,പനുവലാള്‍,,
scope,,,,,
score,,,എണ്ണം,,
scratch,,,ചുരണ്ടുക/മാന്തുക,,
scream,,,മുറവിളി,,
screen,,,തിര,,
screw,,,പിരി,,
screwdriver,,,പിരികയറ്റി,,
script,,,കൈയ്യെഴുത്ത്,,
sea,,,കടല്‍/ആഴി,,
search,,,തിരയുക/തപ്പുക/പരതുക,,
season,,,കാലം,,
seat,,,ഇരിപ്പിടം,,
second,,,രണ്ടാമത്തെ,,
secret,,,അകമിയം/കമുക്ക്,,
secretary,,,കൈയാള്‍,,
section,,,തുണ്ട്,,
sector,,,തുറ,,
secure,,,കെട്ടുറപ്പുള്ള,,
security,,,കാവൽ,,
seduction,,,മയറ്റ്,,
see,,,കാണുക/നോക്കുക,,
seed,,,വിത്ത്,,
seek,,,തേടുക/തിരയുക,,
seem,,,തോന്നുക,,
segment,,,മുറി/നുറുങ്ങ്,,
seize,,,പിടിച്ചെടുക്കുക,,
select,,,തിരഞ്ഞെടുക്കുക,,
selection,,,പലവക,,
self,,,താന്‍,,
sell,,,വില്‍ക്കുക,,
Senate,,,,,
senator,,,,,
send,,,അയയ്ക്കുക,,
senior,,,മൂത്ത,,
sense,,,തോന്നല്‍,,
sensitive,,,,,
sentence,,,,,
separate,,,വേര്‍പെട്ട,,
sequence,,,ഒഴുങ്ങ്,,
serial,,,തുടര്‍ക്കളി,,
series,,,ഒഴുങ്ങ്,,
serious,,,,,
seriously,,,,,
serve,,,ഊഴിയം ചെയ്യുക,,
service,,,ഊഴിയം,,
session,,,,,
set,,,നുറുങ്ങ്,,
set aside,,,വകയിരുത്തുക,,
setting,,,,,
settle,,,ഒത്തുതീര്‍ക്കുക,,
settlement,,,ഒത്തുതീര്‍പ്പ്,,
seven,,,ഏഴ്,,
several,,,പല,,
severe,,,വളരെ,,
sex,,,ഓകുക/പുണര്‍ച്ച/വേഴ്ച,,
sexual,,,ഓക്ക്,,
shade,,,നിഴല്‍,,
shadow,,,നിഴല്‍,,
shake,,,കുലുക്കുക/ഇളക്കുക,,
shall,,,ചെയ്യട്ടെ,,
shape,,,ഉരുവം/ഉരുത്തിരിയുക,,
share,,,പങ്ക്,,
shark,,,സ്രാവ്,,
sharp,,,കൂര്‍ത്ത,,
shatter,,,"ഉടയുക, തകരുക",,
she,,,അവള്‍,,
sheet,,,താള്‍,,
shelf,,,ചുവരലമാര,,
shell,,,പുറംതോട്,,
shelter,,,തണലിടം,,
shepherd,,,ഇടയന്‍,,
shift,,,നീക്കുക,,
shine,,,തിളങ്ങുക/തിളക്കം,,
ship,,,കപ്പല്‍,,
shirt,,,ചട്ട/കുപ്പായം,,
shit,,,അപ്പി/കാട്ടം,,
shock,,,ഞെട്ടല്‍,,
shoe,,,,,
shoot,,,വെടിവയ്ക്കുക,,
shooting,,,വെടിവയ്പ്,,
shop,,,വാങ്ങുക,,
shopping,,,വാങ്ങല്‍,,
shore,,,കടല്‍ക്കര,,
short,,,കുറിയ,,
shortly,,,താമസിയാതെ,,
shot,,,വെടിവയ്പ്,,
should,,,വേണം,,
shoulder,,,തോള്‍,,
shout,,,അലറുക,,
show,,,കാണിക്കുക,,
shower,,,കുളിക്കുക/ചാറ്റല്‍,,
shrug,,,തോളിളക്കുക,,
shut,,,അടയ്ക്കുക,,
sibling,,,ഓപ്പ/ഉടപിറന്നവര്‍,,
sigh,,,നെടുവീര്‍പ്പ്,,
signature,,,ഒപ്പ്,,
similar,,,ഒരേപോലത്തെ,,
similarly,,,അതുപോലെ,,
simple,,,എളുപ്പമായ,,
simply,,,വെറുതെ,,
sin,,,പാതകം,,
since,,,തൊട്ട്,,
sing,,,പാടുക,,
singer,,,പാട്ടുകാരന്‍,,
single,,,ഒറ്റ,,
sink,,,മുങ്ങുക,,
sir,,,ഏമാന്‍,,
sister,,,അനിയത്തി/ചേച്ചി,,
sit,,,ഇരിക്കുക,,
site,,,ഇടം,,
situation,,,ഇട,,
six,,,ആറ്,,
size,,,വലുപ്പം/വണ്ണം,,
ski,,,മഞ്ഞുകോല്‍,,
skill,,,കഴിവ്,,
skin,,,തൊലി,,
